"KOs","id","Description","cor","p.value","p.adjust","Z_score","type"
"P06733","hsa01230","Biosynthesis of amino acids",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
"P06733","hsa00010","Glycolysis / Gluconeogenesis",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
"P06733","hsa01100","Metabolic pathways",0.657329596713295,2.18197070730835e-05,5.34189394113212e-05,3.87451359590528,"Enriched"
"P09104","hsa03018","RNA degradation",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P09104","hsa04066","HIF-1 signaling pathway",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P09104","hsa00010","Glycolysis / Gluconeogenesis",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P09104","hsa01230","Biosynthesis of amino acids",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P09104","hsa01200","Carbon metabolism",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P09104","hsa01100","Metabolic pathways",0.31463191932569,0.0397266782522762,0.0530474564111724,1.6159972266129,"Enriched"
"P13929","hsa03018","RNA degradation",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P13929","hsa01100","Metabolic pathways",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P13929","hsa01200","Carbon metabolism",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P13929","hsa04066","HIF-1 signaling pathway",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P13929","hsa01230","Biosynthesis of amino acids",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P13929","hsa00010","Glycolysis / Gluconeogenesis",0.697212516064439,4.62486842170253e-06,1.31958387188937e-05,4.20255699062959,"Enriched"
"P05091","hsa01240","Biosynthesis of cofactors",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00380","Tryptophan metabolism",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00330","Arginine and proline metabolism",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00620","Pyruvate metabolism",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa01100","Metabolic pathways",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00310","Lysine degradation",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa04936","Alcoholic liver disease",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00280","Valine, leucine and isoleucine degradation",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00010","Glycolysis / Gluconeogenesis",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P05091","hsa00071","Fatty acid degradation",0.483026467697185,0.00255289421784294,0.00424853251739854,2.63165279215675,"Enriched"
"P49189","hsa00280","Valine, leucine and isoleucine degradation",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00330","Arginine and proline metabolism",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00310","Lysine degradation",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00620","Pyruvate metabolism",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa04936","Alcoholic liver disease",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00380","Tryptophan metabolism",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00071","Fatty acid degradation",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa01100","Metabolic pathways",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P49189","hsa00010","Glycolysis / Gluconeogenesis",0.741526870899043,6.0016988051337e-07,2.17905482084523e-06,4.59352969819767,"Enriched"
"P51648","hsa00620","Pyruvate metabolism",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00330","Arginine and proline metabolism",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa04936","Alcoholic liver disease",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00310","Lysine degradation",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa01100","Metabolic pathways",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00280","Valine, leucine and isoleucine degradation",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00380","Tryptophan metabolism",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa01240","Biosynthesis of cofactors",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00071","Fatty acid degradation",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P51648","hsa00010","Glycolysis / Gluconeogenesis",0.258500403201858,0.076569264587657,0.0959808747483614,1.30479767955121,"Enriched"
"P04075","hsa01100","Metabolic pathways",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa04066","HIF-1 signaling pathway",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa01200","Carbon metabolism",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa00051","Fructose and mannose metabolism",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa00030","Pentose phosphate pathway",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa01230","Biosynthesis of amino acids",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P04075","hsa00010","Glycolysis / Gluconeogenesis",0.644035290262914,3.48422706624729e-05,8.1033383155735e-05,3.77181135510958,"Enriched"
"P09972","hsa04066","HIF-1 signaling pathway",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa00010","Glycolysis / Gluconeogenesis",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa01200","Carbon metabolism",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa01230","Biosynthesis of amino acids",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa01100","Metabolic pathways",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa00051","Fructose and mannose metabolism",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P09972","hsa00030","Pentose phosphate pathway",0.590858064461389,0.000185055036650679,0.000378336707339844,3.3681757603343,"Enriched"
"P04406","hsa05130","Pathogenic Escherichia coli infection",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa05010","Alzheimer disease",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa01200","Carbon metabolism",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa05132","Salmonella infection",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa00010","Glycolysis / Gluconeogenesis",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa01230","Biosynthesis of amino acids",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa05415","Diabetic cardiomyopathy",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa04066","HIF-1 signaling pathway",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P04406","hsa01100","Metabolic pathways",0.709029677353667,2.78273002307435e-06,8.37560612856369e-06,4.30430319892279,"Enriched"
"P06744","hsa00520","Amino sugar and nucleotide sugar metabolism",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P06744","hsa01250","Biosynthesis of nucleotide sugars",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P06744","hsa00010","Glycolysis / Gluconeogenesis",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P06744","hsa01100","Metabolic pathways",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P06744","hsa01200","Carbon metabolism",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P06744","hsa00030","Pentose phosphate pathway",0.465300725763344,0.00364269405992981,0.00593064426886935,2.51624444290065,"Enriched"
"P19367","hsa00520","Amino sugar and nucleotide sugar metabolism",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa04910","Insulin signaling pathway",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa01250","Biosynthesis of nucleotide sugars",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa04066","HIF-1 signaling pathway",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa00052","Galactose metabolism",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa05131","Shigellosis",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa01200","Carbon metabolism",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa05230","Central carbon metabolism in cancer",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa01100","Metabolic pathways",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa00051","Fructose and mannose metabolism",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa04930","Type II diabetes mellitus",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P19367","hsa00010","Glycolysis / Gluconeogenesis",-0.830155580568251,2.0976286509964e-09,1.53622564046432e-08,-5.53725723764488,"Depleted"
"P52789","hsa01200","Carbon metabolism",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa05230","Central carbon metabolism in cancer",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa05131","Shigellosis",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa00051","Fructose and mannose metabolism",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa04910","Insulin signaling pathway",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa01250","Biosynthesis of nucleotide sugars",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa04930","Type II diabetes mellitus",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa00052","Galactose metabolism",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa01100","Metabolic pathways",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa00010","Glycolysis / Gluconeogenesis",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa04066","HIF-1 signaling pathway",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P52789","hsa00520","Amino sugar and nucleotide sugar metabolism",-0.78288693541134,5.94251098844453e-08,2.83030283937387e-07,-5.00245071356862,"Depleted"
"P00338","hsa00270","Cysteine and methionine metabolism",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa00010","Glycolysis / Gluconeogenesis",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa01100","Metabolic pathways",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa00620","Pyruvate metabolism",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa05230","Central carbon metabolism in cancer",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa04922","Glucagon signaling pathway",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P00338","hsa04066","HIF-1 signaling pathway",0.364854854804908,0.0200265143377012,0.0284090884982913,1.90470693522833,"Enriched"
"P07195","hsa05230","Central carbon metabolism in cancer",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa00620","Pyruvate metabolism",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa00010","Glycolysis / Gluconeogenesis",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa01100","Metabolic pathways",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa04922","Glucagon signaling pathway",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa00270","Cysteine and methionine metabolism",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P07195","hsa04066","HIF-1 signaling pathway",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
"P49419","hsa00071","Fatty acid degradation",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00310","Lysine degradation",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00380","Tryptophan metabolism",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00620","Pyruvate metabolism",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa01100","Metabolic pathways",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00330","Arginine and proline metabolism",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa04936","Alcoholic liver disease",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00280","Valine, leucine and isoleucine degradation",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P49419","hsa00010","Glycolysis / Gluconeogenesis",0.779932645089033,7.12359418780546e-08,3.32253133492302e-07,4.97145985075374,"Enriched"
"P35558","hsa04910","Insulin signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa00010","Glycolysis / Gluconeogenesis",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04920","Adipocytokine signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa03320","PPAR signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa00020","Citrate cycle (TCA cycle)",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04931","Insulin resistance",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04922","Glucagon signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04152","AMPK signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa01100","Metabolic pathways",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04151","PI3K-Akt signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa04068","FoxO signaling pathway",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P35558","hsa00620","Pyruvate metabolism",-0.762206903155192,2.00068875590128e-07,8.26758049177754e-07,-4.79172722698083,"Depleted"
"P08559","hsa04922","Glucagon signaling pathway",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa01200","Carbon metabolism",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa05230","Central carbon metabolism in cancer",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa01100","Metabolic pathways",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa00620","Pyruvate metabolism",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa00010","Glycolysis / Gluconeogenesis",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa04066","HIF-1 signaling pathway",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa00020","Citrate cycle (TCA cycle)",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P08559","hsa05415","Diabetic cardiomyopathy",0.682441064452904,8.44674621518975e-06,2.25651052856755e-05,4.07951266817164,"Enriched"
"P11177","hsa04922","Glucagon signaling pathway",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa00620","Pyruvate metabolism",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa05415","Diabetic cardiomyopathy",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa01100","Metabolic pathways",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa05230","Central carbon metabolism in cancer",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa00020","Citrate cycle (TCA cycle)",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa04066","HIF-1 signaling pathway",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa01200","Carbon metabolism",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P11177","hsa00010","Glycolysis / Gluconeogenesis",0.468255016085651,0.00343750419539874,0.00560511072959223,2.53607658647047,"Enriched"
"P17858","hsa04066","HIF-1 signaling pathway",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa00052","Galactose metabolism",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa01200","Carbon metabolism",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa03018","RNA degradation",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa05230","Central carbon metabolism in cancer",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa00010","Glycolysis / Gluconeogenesis",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa04922","Glucagon signaling pathway",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa04152","AMPK signaling pathway",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa01230","Biosynthesis of amino acids",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa01100","Metabolic pathways",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa00051","Fructose and mannose metabolism",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa04919","Thyroid hormone signaling pathway",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P17858","hsa00030","Pentose phosphate pathway",0.28065758061916,0.0598619581209866,0.0768857642292671,1.42633547787839,"Enriched"
"P08237","hsa00030","Pentose phosphate pathway",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa03018","RNA degradation",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa01100","Metabolic pathways",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa04066","HIF-1 signaling pathway",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa05230","Central carbon metabolism in cancer",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa01230","Biosynthesis of amino acids",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa00051","Fructose and mannose metabolism",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa04922","Glucagon signaling pathway",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa00010","Glycolysis / Gluconeogenesis",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa00052","Galactose metabolism",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa01200","Carbon metabolism",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa04919","Thyroid hormone signaling pathway",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"P08237","hsa04152","AMPK signaling pathway",0.192028870949951,0.146193598027751,0.170792138422478,0.951039594170828,"Enriched"
"Q01813","hsa00052","Galactose metabolism",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa04919","Thyroid hormone signaling pathway",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa01200","Carbon metabolism",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa05230","Central carbon metabolism in cancer",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa04066","HIF-1 signaling pathway",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa01230","Biosynthesis of amino acids",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa04152","AMPK signaling pathway",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa00051","Fructose and mannose metabolism",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa00030","Pentose phosphate pathway",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa01100","Metabolic pathways",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa00010","Glycolysis / Gluconeogenesis",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa03018","RNA degradation",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"Q01813","hsa04922","Glucagon signaling pathway",0.0960144354749757,0.300577349782959,0.323820988670458,0.457040441989309,"Enriched"
"P18669","hsa01230","Biosynthesis of amino acids",0.813906983795563,7.35625316697916e-09,4.64051545651473e-08,5.34026598660005,"Enriched"
